年,月,日,描述,类别,金额,纬度,经度
2023,4,29,时萌萌婚礼,🛸其他,CN¥600.00,35.15454298337010,136.9613944301960
2023,4,29,超市买菜,🛒生活费,JP¥3993,35.15349053585930,136.9503887428270
2023,4,30,测试,🛒生活费,JP¥1,35.15205925535260,136.9581101433860
2023,5,2,便当 坚果,🛒生活费,JP¥848,35.15423155892800,136.9631510334910
2023,5,3,滤网,🛒生活费,JP¥250,35.15340944703730,136.9503463723550
2023,5,3,超市买菜,🛒生活费,JP¥2506,35.15346348685340,136.9504148631530
2023,5,4,洗脸巾,💊健康医药,JP¥860,35.15211146827720,136.9581247638070
2023,5,4,水,🛒生活费,JP¥116,35.15418890173090,136.9629682448240
2023,5,4,啤酒,🛒生活费,JP¥1100,35.14486599251180,136.9573807531380
2023,5,4,酒 菜,🛒生活费,JP¥1337,35.15202585829320,136.9581664833450
2023,5,5,回锅肉定食,🛒生活费,JP¥1000,35.14298441915260,136.9557898578290
2023,5,6,饮料,🛒生活费,CN¥3.70,35.15435073605200,136.9631266517240
2023,5,6,超市买菜,🛒生活费,JP¥4902,35.15339064243670,136.9502933696500
2023,5,8,麦茶,🛒生活费,JP¥186,35.15416365777680,136.9630939926870
2023,5,9,水,🛒生活费,JP¥108,35.15403788061260,136.963083634683
2023,5,10,饮料,🛒生活费,JP¥128,35.15408604409100,136.9626046904710
2023,5,10,超市买菜,🛒生活费,JP¥657,35.15225851418430,136.9581838323430
2023,5,12,便当,🛒生活费,JP¥490,35.15411467281920,136.9630931384040
2023,5,12,荞麦面套餐,🍻社交,JP¥1990,35.15190763751220,136.9471847966440
2023,5,13,超市买菜,🛒生活费,JP¥6930,35.15344857801470,136.9503298794690
2023,5,13,抽纸,🛒生活费,JP¥327,35.15337022956010,136.9503164851450
2023,5,14,坚果 意面,🛒生活费,JP¥1192,35.13668694695530,136.9630199683290
2023,5,14,药盒 压缩袋,🛒生活费,JP¥220,35.13660746986390,136.9629683490210
2023,5,14,袜子四双,🥳趣味,JP¥1320,35.13656878724520,136.9627692290000
2023,5,14,啤酒,🛒生活费,JP¥206,35.13689116062600,136.9633424104250
2023,5,14,卡拉OK,🛒生活费,JP¥400,35.15200351833860,136.9581380580900
2023,5,15,便当,🛒生活费,JP¥563,35.15418087494770,136.9627929931400
2023,5,16,ダンボール　胶带,🛒生活费,JP¥565,35.15211737108970,136.9580163321550
2023,5,17,茶,🛒生活费,JP¥149,35.15408351860320,136.9631286021670
2023,5,17,和面,🍻社交,JP¥2000,35.15210145668660,136.9581102913750
2023,5,17,唱歌,🍻社交,CN¥50.00,35.15209554810540,136.9581181324840
2023,5,18,麦茶,🛒生活费,JP¥186,35.15404442239210,136.9631372782390
2023,5,18,超市买菜,🛒生活费,JP¥1806,35.1521073662349,136.9581697368060
